Group,Santa Barbara,Ventura,Total ,Proportion,Populations being removed,total female population,,Population removed from weighting,,Total female population for weighting
Under 5 years,13198,23208,36406,0.0559,36406,650714,,155157,,495557
5 to 9 years,12258,22161,34419,0.0529,34419,,,,,
10 to 14 years,14755,30769,45524,0.07,45524,,,,,
15 to 19 years,19739,28771,48510,0.0745,38808,,,,,
20 to 24 years,22689,27140,49829,0.0766,,,,,,
25 to 29 years,15702,28742,44444,0.0683,,,,,,
30 to 34 years,12979,25883,38862,0.0597,,,,,,
35 to 39 years,12474,25144,37618,0.0578,,,,,,
40 to 44 years,11896,27130,39026,0.06,,,,,,
45 to 49 years,11771,27449,39220,0.0603,,,,,,
50 to 54 years,11082,28577,39659,0.0609,,,,,,
55 to 59 years,13020,29405,42425,0.0652,,,,,,
60 to 64 years ,12761,28106,40867,0.0628,,,,,,
65 to 69 years,10506,22992,33498,0.0515,,,,,,
70 to 74 years,9636,19027,28663,0.044,,,,,,
75 to 79 years,6022,12773,18795,0.0289,,,,,,
80 to 84 years,4525,9177,13702,0.0211,,,,,,
85 and over ,7627,11620,19247,0.0296,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,total female population,,,,,,,,,
