age_group,sex,population_proportion,sample_proportion,sample_count,weight
15-19,female,0.009927001,0.011331445,4,0.876057877
20-24,female,0.050984596,0.076487252,27,0.666576391
25-29,female,0.045474712,0.099150142,35,0.458644949
30-34,female,0.039763258,0.087818697,31,0.452788068
35-39,female,0.038490408,0.036827195,13,1.045162623
40-44,female,0.039931061,0.036827195,13,1.0842819
45-49,female,0.040129561,0.025495751,9,1.573970542
50-54,female,0.040578742,0.04815864,17,0.842605633
55-59,female,0.043408889,0.036827195,13,1.17871828
60-64,female,0.041814757,0.053824363,19,0.776874161
65-69,female,0.03427486,0.019830028,7,1.728432239
70-74,female,0.029327731,0.025495751,9,1.150298767
75-79,female,0.019230879,0.005665722,2,3.394250218
80+,female,0.033713128,0.008498584,3,3.966911428
15-19,male,0.009733004,0.002832861,1,3.435750548
20-24,male,0.053925248,0.028328612,10,1.903561258
25-29,male,0.047246879,0.04815864,17,0.981067543
30-34,male,0.044685831,0.059490085,21,0.751147543
35-39,male,0.040120352,0.031161473,11,1.287498564
40-44,male,0.040584881,0.039660057,14,1.023318777
45-49,male,0.0391739,0.033994334,12,1.152365557
50-54,male,0.040944021,0.031161473,11,1.313930849
55-59,male,0.043157183,0.033994334,12,1.26954048
60-64,male,0.038173219,0.02266289,8,1.684393284
65-69,male,0.029027936,0.019830028,7,1.463837323
70-74,male,0.02753203,0.042492918,15,0.647920439
75-79,male,0.016445753,0.019830028,7,0.829335823
80+,male,0.02220018,0.014164306,5,1.567332737
