age_group,sex,population_proportion,sample_proportion,sample_count,weight,,,,,,
0-4,female,0.028167009,NA,NA,,,,,,,
5-9,female,0.026629684,NA,NA,,,,,,,
10-14,female,0.035221527,NA,NA,,,,,,,
15-19,female,0.007506354,0.011331445,4,0.662435726,,,,,,
20-24,female,0.038552269,0.076487252,27,0.504035221,,,,,,
25-29,female,0.03438594,0.099150142,35,0.346806765,,,,,,
30-34,female,0.030067195,0.087818697,31,0.342378059,,,,,,
35-39,female,0.029104723,0.036827195,13,0.790305181,,,,,,
40-44,female,0.03019408,0.036827195,13,0.819885413,,,,,,
45-49,female,0.030344177,0.025495751,9,1.19016604,,,,,,
50-54,female,0.030683827,0.04815864,17,0.637140646,,,,,,
55-59,female,0.032823858,0.036827195,13,0.891294002,,,,,,
60-64,female,0.031618446,0.053824363,19,0.58743744,,,,,,
65-69,female,0.025917114,0.019830028,7,1.306963056,,,,,,
70-74,female,0.022176317,0.025495751,9,0.869804423,,,,,,
75-79,female,0.01454153,0.005665722,2,2.566580217,,,,,,
80+,female,0.025492358,0.008498584,3,2.999600639,,,,,,
0-4,male,0.029674934,NA,NA,,,,,,,
5-9,male,0.029089249,NA,NA,,,,,,,
10-14,male,0.035598315,NA,NA,,,,,,,
15-19,male,0.007359662,0.002832861,1,2.59796086,,,,,,
20-24,male,0.040775858,0.028328612,10,1.439387782,,,,,,
25-29,male,0.035725974,0.04815864,17,0.741839346,,,,,,
30-34,male,0.033789424,0.059490085,21,0.567984127,,,,,,
35-39,male,0.030337213,0.031161473,11,0.973548747,,,,,,
40-44,male,0.030688469,0.039660057,14,0.773787819,,,,,,
45-49,male,0.029621549,0.033994334,12,0.87136724,,,,,,
50-54,male,0.030960035,0.031161473,11,0.993535671,,,,,,
55-59,male,0.032633529,0.033994334,12,0.959969653,,,,,,
60-64,male,0.028864879,0.02266289,8,1.273662759,,,,,,
65-69,male,0.021949625,0.019830028,7,1.10688825,,,,,,
70-74,male,0.020818488,0.042492918,15,0.489928416,,,,,,
75-79,male,0.012435542,0.019830028,7,0.627106628,,,,,,
80+,male,0.016786782,0.014164306,5,1.185146805,,,,,,
