"","sex","age_group","count","proportion"
"1","female","15-19",4,0.0113314447592068
"2","female","20-24",27,0.0764872521246459
"3","female","25-29",35,0.0991501416430595
"4","female","30-34",31,0.0878186968838527
"5","female","35-39",13,0.0368271954674221
"6","female","40-44",13,0.0368271954674221
"7","female","45-49",9,0.0254957507082153
"8","female","50-54",17,0.0481586402266289
"9","female","55-59",13,0.0368271954674221
"10","female","60-64",19,0.0538243626062323
"11","female","65-69",7,0.0198300283286119
"12","female","70-74",9,0.0254957507082153
"13","female","75-79",2,0.0056657223796034
"14","female","80+",3,0.0084985835694051
"15","male","15-19",1,0.0028328611898017
"16","male","20-24",10,0.028328611898017
"17","male","25-29",17,0.0481586402266289
"18","male","30-34",21,0.0594900849858357
"19","male","35-39",11,0.0311614730878187
"20","male","40-44",14,0.0396600566572238
"21","male","45-49",12,0.0339943342776204
"22","male","50-54",11,0.0311614730878187
"23","male","55-59",12,0.0339943342776204
"24","male","60-64",8,0.0226628895184136
"25","male","65-69",7,0.0198300283286119
"26","male","70-74",15,0.0424929178470255
"27","male","75-79",7,0.0198300283286119
"28","male","80+",5,0.0141643059490085
