StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q1_1,Q1_2,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q18_4_TEXT,Q19,Q20,Q21,Q22,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q23_7,Q24_1,Q24_2,Q24_3,Q24_4,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q26_1,Q26_2,Q26_3,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q27_6,Q27_7,Q27_8,Q28_1,Q28_2,Q28_3,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,Q30_6_TEXT,Q31,Q32,Q32_4_TEXT,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q39_7_TEXT,Q40,Q40_8_TEXT,Q41,Q41_4_TEXT,ResponseType
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Location Latitude,Location Longitude,Distribution Channel,User Language,"Anonymous Online Consent Statement



Purpose: 
You are being asked to participate in a research study being conducted by the Bren School of Environmental Science and Management at the University of California, Santa Barbara. Participation is voluntary. The purpose of this research study is to gain a better understanding of the perception of aquaculture in California. 

 

Procedures:

If you choose to be in the study, you will complete an online survey. The survey will take about 5 to 10 minutes to complete. 

 

You can skip questions that you do not wish to answer or stop the survey at any time. The survey is anonymous and no one will be able to link your responses back to you. Please do not include your name or other information that could be used to identify you in the survey responses. 

 

Contact Information: ​

If you have questions about the research, you can contact us at gp-kelpwanted@bren.ucsb.edu. 
If you have any questions regarding your rights as a research subject, please contact the Human Subjects Committee at (805) 893-3807 or hsc@research.ucsb.edu. Or write to the University of California, Human Subjects Committee, Office of Research, Santa Barbara, CA 93106-2050



Please indicate that you have read the above and consent to participate in this study.",Do you live in Santa Barbara or Ventura County?,Are you 18 years or older?,Are you supportive of or opposed to expanding seaweed farming off the California coast?,"When you think of seaweed farming, what word comes to mind?",Are you supportive of or opposed to expanding kelp farming off the California coast?,"When you think of kelp farming, what word comes to mind?",Are you supportive of or opposed to expanding seaweed aquaculture off the California coast?,"When you think of seaweed aquaculture, what word comes to mind?",Are you supportive of or opposed to expanding kelp aquaculture off the California coast?,"When you think of kelp aquaculture, what word comes to mind?",How familiar are you with aquaculture?,"Aquaculture is referred to by many names. Please rank the following names based on which you view most positively, with 1 being most positive. (drag text up or down to change ranking position) - Ocean farming","Aquaculture is referred to by many names. Please rank the following names based on which you view most positively, with 1 being most positive. (drag text up or down to change ranking position) - Seaweed farming","Aquaculture is referred to by many names. Please rank the following names based on which you view most positively, with 1 being most positive. (drag text up or down to change ranking position) - Kelp farming","Aquaculture is referred to by many names. Please rank the following names based on which you view most positively, with 1 being most positive. (drag text up or down to change ranking position) - Ocean aquaculture","Aquaculture is referred to by many names. Please rank the following names based on which you view most positively, with 1 being most positive. (drag text up or down to change ranking position) - Seaweed aquaculture","Aquaculture is referred to by many names. Please rank the following names based on which you view most positively, with 1 being most positive. (drag text up or down to change ranking position) - Kelp aquaculture","Aquaculture is referred to by many names. Please rank the following names based on which you view most positively, with 1 being most positive. (drag text up or down to change ranking position) - Regenerative aquaculture","Aquaculture is referred to by many names. Please rank the following names based on which you view most positively, with 1 being most positive. (drag text up or down to change ranking position) - Seaweed mariculture","In general, how positive or negative is your view of aquaculture?","In general, how positive or negative is your view of seaweed aquaculture?",Do you spend free time by or in the ocean?,How many days per month do you spend your free time by or in the ocean?,Have you heard of aquaculture farms off the California coast?,Have you seen aquaculture farms off the California coast?,Select type(s) of aquaculture that you have heard of or seen off the California coast: - Selected Choice,Select type(s) of aquaculture that you have heard of or seen off the California coast: - Other - Text,"Do you consume seafood (shellfish, fish, seaweed, etc.)?",How many times a month do you consume seafood?,Do you know the origins of the seafood you purchase or consume (wild caught vs. farmed/aquacultured)?,Do you have a preference regarding the origins of the seafood you purchase or consume?,"To what extent do you agree with each of the following statements?

Seaweed aquaculture... - ... has negative impacts on marine ecosystems.","To what extent do you agree with each of the following statements?

Seaweed aquaculture... - ... improves water quality nearby.","To what extent do you agree with each of the following statements?

Seaweed aquaculture... - ... infrastructure poses a risk to marine life.","To what extent do you agree with each of the following statements?

Seaweed aquaculture... - ... infrastructure increases plastic pollution in the ocean.","To what extent do you agree with each of the following statements?

Seaweed aquaculture... - ... has positive impacts on marine ecosystems.","To what extent do you agree with each of the following statements?

Seaweed aquaculture... - ... causes bad smells nearby.","To what extent do you agree with each of the following statements?

Seaweed aquaculture... - ... is visually appealing.",To what extent do you agree with each of the following statements? - Aquaculture has the same environmental problems as land-based agriculture.,To what extent do you agree with each of the following statements? - Farmed seafood is a better for the environment than harvesting wild seafood.,"To what extent do you agree with each of the following statements? - Please select ""agree.""",To what extent do you agree with each of the following statements? - Aquaculture will be an important food supply as climate change progresses.,"To what extent do you agree with each of the following statements?
Seaweed aquaculture... - ... has a positive impact on the local economy.","To what extent do you agree with each of the following statements?
Seaweed aquaculture... - ... lowers the price of seafood.","To what extent do you agree with each of the following statements?
Seaweed aquaculture... - ... provides good jobs to those living on the coast.","To what extent do you agree with each of the following statements?
Seaweed aquaculture... - ... interferes with commercial and recreational fishing.","To what extent do you agree with each of the following statements?
Seaweed aquaculture... - ... interferes with tourism/recreation.",To what extent do you agree with each of the following statements? - All types of aquaculture concern me.,To what extent do you agree with each of the following statements? - Seaweed aquaculture has fewer risks than shellfish and fish aquaculture.,To what extent do you agree with each of the following statements? - The benefits of seaweed aquaculture outweigh the potential risks.,"To what extent do you agree with each of the following statements? - I trust existing permitting, monitoring and enforcement processes for ocean aquaculture.",To what extent do you agree with each of the following statements? - I trust scientists who study how we use the environment.,To what extent do you agree with each of the following statements? - I am concerned about climate change.,To what extent do you agree with each of the following statements? - I am concerned that seaweed cultivation sites will be too close to shore.,To what extent do you agree with each of the following statements? - I am concerned that seaweed cultivation sites will be too big.,To what extent do you agree with each of the following statements? - I am concerned that seaweed cultivation sites will have an impact on coastal recreation.,To what extent do you agree with each of the following statements? - I am concerned that seaweed cultivation sites will damage the aesthetic beauty of the California coast.,To what extent do you agree with each of the following statements? - I am concerned about the environmental impacts of the seaweed aquaculture industry.,To what extent do you agree with each of the following statements? - I am interested in learning more about the issues surrounding seaweed aquaculture.,To what extent do you agree with each of the following statements? - I would support policies that fund research on seaweed aquaculture.,To what extent do you agree with each of the following statements? - I would support policies that expand seaweed aquaculture operations in California.,"Rank the aquaculture related topics in order of your interest in learning more, with 1 being most interested. (drag text up or down to change ranking position) - Policy","Rank the aquaculture related topics in order of your interest in learning more, with 1 being most interested. (drag text up or down to change ranking position) - Permitting","Rank the aquaculture related topics in order of your interest in learning more, with 1 being most interested. (drag text up or down to change ranking position) - Environmental impacts","Rank the aquaculture related topics in order of your interest in learning more, with 1 being most interested. (drag text up or down to change ranking position) - Economic impacts","Rank the aquaculture related topics in order of your interest in learning more, with 1 being most interested. (drag text up or down to change ranking position) - Social & cultural impacts","Rank the aquaculture related topics in order of your interest in learning more, with 1 being most interested. (drag text up or down to change ranking position) - Research","Rank the forms of communication by which you would prefer to learn about aquaculture, with 1 being most preferred. (drag text up or down to change ranking position) - Short educational film","Rank the forms of communication by which you would prefer to learn about aquaculture, with 1 being most preferred. (drag text up or down to change ranking position) - Physical pamphlets","Rank the forms of communication by which you would prefer to learn about aquaculture, with 1 being most preferred. (drag text up or down to change ranking position) - Festivals/conferences","Rank the forms of communication by which you would prefer to learn about aquaculture, with 1 being most preferred. (drag text up or down to change ranking position) - Website","Rank the forms of communication by which you would prefer to learn about aquaculture, with 1 being most preferred. (drag text up or down to change ranking position) - Social Media/Blogs","Rank the forms of communication by which you would prefer to learn about aquaculture, with 1 being most preferred. (drag text up or down to change ranking position) - Other","Rank the forms of communication by which you would prefer to learn about aquaculture, with 1 being most preferred. (drag text up or down to change ranking position) - Other - Text",In what year were you born?,Please select your gender identity: - Selected Choice,Please select your gender identity: - Not listed - Text,Please indicate your race/ethnicity: (select all that apply),What is your highest level of education?,Select your annual household income:,Enter the number of people in your household (including yourself):,Enter your zipcode:,"In general, do you consider yourself as a Republican, Democrat, Independent, or something else?",Indicate the sector(s) which your occupation falls under: - Selected Choice,Indicate the sector(s) which your occupation falls under: - other - Text,"Which of the following best describes your relationship, if any, to the aquaculture industry? - Selected Choice","Which of the following best describes your relationship, if any, to the aquaculture industry? - Other - Text",How did you find out about this survey? - Selected Choice,How did you find out about this survey? - Other - Text,"0 time removal, 1 complete, 2 recalled, NA from QR code data"
12/22/21 18:33,12/22/21 18:38,100,245,TRUE,12/22/21 18:38,R_3CNS5ycsbjf83BJ,,,anonymous,EN,I have read the above consent statement and AGREE to participate in this study,Yes,Yes,,,Neither opposed nor in support,marine,,,,,"Heard of it, but don't know details",8,7,6,2,3,5,1,4,Unsure/Not familiar,Negative,Yes,1-5 days,No,No,,,No,,,,Agree,Don't know,Agree,Don't know,Disagree,Don't know,Disagree,Agree,Don't know,Agree,Neutral,Agree,Don't know,Don't know,Don't know,Don't know,Neutral,Agree,Don't know,Disagree,Strongly Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Don't know,Don't know,5,6,1,2,3,4,3,4,5,1,2,6,,2000,Man,,"Hispanic or Latinx,White/Caucasian",Some college coursework completed,> $150K,4,93063,Indpendent,education,,None,,,,1
12/22/21 18:42,12/22/21 18:45,100,200,TRUE,12/22/21 18:45,R_1OPtiBzpj7Xs8jb,,,anonymous,EN,I have read the above consent statement and AGREE to participate in this study,Yes,Yes,,,,,,,Neither opposed nor in support,useful,Basic understanding,1,4,5,7,2,3,6,8,Very Positive,Very Positive,Yes,1-5 days,Yes,No,Seaweed,,Yes,4-Jan,Yes,Wild caught,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Agree,Neutral,Disagree,Agree,Strongly Agree,Agree,Neutral,2,4,3,1,5,6,2,3,4,1,5,6,,1988,Man,,Hispanic or Latinx,Bachelor's degree,$50K - $75K,3,93030,Indpendent,service industry,,Employee,,,,0
12/22/21 19:25,12/22/21 19:31,100,362,TRUE,12/22/21 19:31,R_1f96iNas6kgPjYA,,,anonymous,EN,I have read the above consent statement and AGREE to participate in this study,Yes,Yes,Neither opposed nor in support,gunk,,,,,,,"Heard of it, but don't know details",8,3,2,7,4,5,1,6,Positive,Positive,Yes,1-5 days,No,No,,,Yes,4-Jan,Yes,No preference,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Neutral,Agree,Don't know,Agree,Don't know,Agree,Don't know,Don't know,Disagree,Don't know,Don't know,Don't know,Agree,Agree,Don't know,Don't know,Don't know,Don't know,Neutral,Neutral,Neutral,Don't know,5,6,1,2,4,3,3,4,5,1,2,6,,1982,Man,,White/Caucasian,High School or equivalent GED,$75K - $100K,2,93117,Something else,other,Writing/ Publishing,None,,,,1
12/22/21 19:33,12/22/21 19:36,100,174,TRUE,12/22/21 19:36,R_2PhB2Wp2DM5QgQF,,,anonymous,EN,I have read the above consent statement and AGREE to participate in this study,Yes,Yes,,,,,Neither opposed nor in support,seaweed ,,,"Heard of it, but don't know details",8,5,2,4,3,1,6,7,Positive,Neutral,Yes,1-5 days,No,No,,,Yes,4-Jan,Yes,Wild caught,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Strongly Agree,Disagree,Strongly Disagree,Neutral,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Disagree,Disagree,Agree,1,4,6,3,2,5,1,4,2,3,5,6,,1999,Man,,White/Caucasian,Associate degree,$25K - $50K,1,56352,Republican,education,,Employee,,,,0
12/22/21 19:51,12/22/21 19:56,100,325,TRUE,12/22/21 19:57,R_3EnyT1qd2b8meMN,,,anonymous,EN,I have read the above consent statement and AGREE to participate in this study,Yes,Yes,,,,,Somewhat supportive,Enviironmental,,,Basic understanding,3,6,4,8,7,1,2,5,Very Positive,Very Positive,Yes,5-10 days,Yes,No,Seaweed,,Yes,8-Apr,Yes,No preference,Neutral,,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Neutral,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Disagree,5,2,3,4,1,6,5,2,4,3,1,6,,1990,Woman,,"Hispanic or Latinx,White/Caucasian",Bachelor's degree,$50K - $75K,4,91362,Democrat,service industry,,Employee,,,,1
12/22/21 19:52,12/22/21 19:59,100,440,TRUE,12/22/21 19:59,R_2PiNfzsbzO4On2q,,,anonymous,EN,I have read the above consent statement and AGREE to participate in this study,Yes,Yes,,,,,,,Somewhat supportive,Seaweed,Basic understanding,3,4,7,6,2,5,1,8,Positive,Positive,Yes,10-15 days,Yes,No,Seaweed,,Yes,4-Jan,Yes,Wild caught,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Neutral,Disagree,Neutral,Agree,Strongly Agree,Strongly Agree,3,2,1,4,5,6,1,4,3,5,2,6,,1989,Man,,White/Caucasian,Bachelor's degree,$75K - $100K,2,93004,Republican,healthcare,,Customer,,,,1
12/22/21 19:57,12/22/21 20:02,100,332,TRUE,12/22/21 20:02,R_2ByCTaDO8cuzvKS,,,anonymous,EN,I have read the above consent statement and AGREE to participate in this study,Yes,Yes,,,Somewhat opposed,Ocean,,,,,Basic understanding,4,2,8,5,3,6,1,7,Positive,Positive,Yes,15+ days,No,No,,,No,,,,Neutral,Neutral,Neutral,Don't know,Don't know,Don't know,Don't know,Agree,Don't know,Agree,Agree,Agree,Agree,Agree,Don't know,Don't know,Agree,Don't know,Don't know,Don't know,Strongly Agree,Agree,Don't know,Strongly Agree,Agree,Don't know,Don't know,Strongly Agree,Strongly Agree,Agree,3,4,1,2,5,6,1,3,4,2,5,6,,1953,Man,,White/Caucasian,Master's degree,> $150K,2,93063,Democrat,service industry,,Customer,,,,1
12/22/21 20:06,12/22/21 20:12,100,313,TRUE,12/22/21 20:12,R_4MxY2oJJ9lOjrGN,,,anonymous,EN,I have read the above consent statement and AGREE to participate in this study,Yes,Yes,,,,,Neither opposed nor in support,clueless,,,Never heard of it,3,1,2,8,4,5,6,7,Unsure/Not familiar,Unsure/Not familiar,No,,No,No,,,Yes,4-Jan,No,No preference,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Agree,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Disagree,Don't know,Don't know,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,2,4,3,1,5,6,1,2,4,3,5,6,,1966,Man,,White/Caucasian,Bachelor's degree,$100K - $125K,2,93063,Republican,other,Manufacturing,None,,,,1
12/22/21 20:12,12/22/21 20:19,100,474,TRUE,12/22/21 20:19,R_1EjpmhVGjQ1o7DG,,,anonymous,EN,I have read the above consent statement and AGREE to participate in this study,Yes,Yes,Neither opposed nor in support,Sustainable ,,,,,,,"Heard of it, but don't know details",4,7,8,3,2,6,1,5,Positive,Positive,No,,No,No,,,Yes,4-Jan,No,No preference,Don't know,Agree,Neutral,Don't know,Agree,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Agree,Neutral,Agree,Don't know,Disagree,Disagree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Disagree,Disagree,Agree,Agree,Neutral,3,5,1,2,6,4,1,3,5,2,4,6,,1947,Man,,White/Caucasian,Bachelor's degree,$50K - $75K,1,91361,Democrat,other,Retired,,,,,1
