"","response_id","response_type","finished","question","answer"
"1","R_2XbWiKqDHlx3sKj","1","TRUE","q37","91320"
"2","R_1IoPwSaGsqoOhmF","1","TRUE","q37","91320"
"3","R_Drg7Py3JLuWEwp3","1","TRUE","q37","91320"
"4","R_yTNgUyebuhl8Rb3","1","TRUE","q37","91320"
"5","R_3IYpmsHA4lGyrfo","1","TRUE","q37","91320"
"6","R_agUsRLNc8gTKo0h","1","TRUE","q37","91320"
"7","R_263y2zNLmdIUFZ6","1","TRUE","q37","91320"
"8","R_3RvD8sUKYkFD0kf","1","TRUE","q37","91320"
"9","R_33s6MkrqeY9ovjj","1","TRUE","q37","91320"
"10","R_1qh27R2zk15v0Tk","1","TRUE","q37","91360"
"11","R_3htGkIpqzh132Rk","1","TRUE","q37","91360"
"12","R_1JPhVtIItpoxeLd","1","TRUE","q37","91360"
"13","R_2BxFaWpJjprG5f9","2","TRUE","q37","91360"
"14","R_1rCFkeUVa7akm5K","1","TRUE","q37","91360"
"15","R_DtP9Tb1t0dvpUTT","1","TRUE","q37","91360"
"16","R_pof0de1dhs7Yz8B","1","TRUE","q37","91360"
"17","R_3kFGYy0GVY42yrZ","1","TRUE","q37","91360"
"18","R_DN48EOfFukMaw37","1","TRUE","q37","91360"
"19","R_1Yw3drKhGdvFkl3","1","TRUE","q37","91360"
"20","R_3hi0foRxoH13Fri","1","TRUE","q37","91360"
"21","R_UmyRwKI6jkLDOzT","1","TRUE","q37","91360"
"22","R_2wz8WYCq9gIQJ0Q","1","TRUE","q37","91360"
"23","R_1f42YQNClNZWj7t","1","TRUE","q37","91360"
"24","R_3iyThpa8S8EjlnL","1","TRUE","q37","91360"
"25","R_3g1sxSazsRNFsaX","1","TRUE","q37","91360"
"26","R_1EjpmhVGjQ1o7DG","1","TRUE","q37","91361"
"27","R_2EjekNMH1WbNnVY","2","TRUE","q37","91361"
"28","R_3j6RZr9RTkGhBSy","2","TRUE","q37","91361"
"29","R_1dyiwtlP2nd2O3v","1","TRUE","q37","91361"
"30","R_1M5s6hniBM26XXb","1","TRUE","q37","91361"
"31","R_3EyhFN1MLpOqfTJ","2","TRUE","q37","91361"
"32","R_Z96uEIn4EgAxaW5","1","TRUE","q37","91361"
"33","R_3Jm8Bt7duRpI7T7","2","TRUE","q37","91361"
"34","R_0ctIVMTzdcYmKL7","1","TRUE","q37","91361"
"35","R_3EnyT1qd2b8meMN","1","TRUE","q37","91362"
"36","R_2AQFKbIKBa7wwAb","1","TRUE","q37","91362"
"37","R_21gMWqb91efySQp","1","TRUE","q37","91362"
"38","R_32MbMLNQre8oTxp","1","TRUE","q37","91362"
"39","R_3fDVdLrkqTwBJ9v","1","TRUE","q37","91362"
"40","R_p3j3MWeZ8qfNvu9","2","TRUE","q37","91362"
"41","R_2y8lg8FN5kGcYwo","1","TRUE","q37","91362"
"42","R_1QgYo29Cla1p63S","1","TRUE","q37","91362"
"43","R_2zMbQXTrvP34tlE","1","TRUE","q37","91362"
"44","R_2bZu8GhfMrE6lYN","1","TRUE","q37","91362"
"45","R_1PXKRbA7osBt6FQ","1","TRUE","q37","91377"
"46","R_1M0bxDSh9HHOPfM","1","TRUE","q37","91377"
"47","R_OlngMGgWIonFmAV","1","TRUE","q37","93001"
"48","R_2uwFULD7e7uggab","1","TRUE","q37","93001"
"49","R_pQO2Tssp2GZ1V05","1","TRUE","q37","93001"
"50","R_yKqoF7aUqOcBmy5","2","TRUE","q37","93001"
"51","R_25ybLmyOKVBgT2q","2","TRUE","q37","93001"
"52","R_1Einy7IovsUIelC","1","TRUE","q37","93001"
"53","R_1HpFThwrXBNRjU0","1","TRUE","q37","93001"
"54","R_XtgNqrxlPvqIPoR","1","TRUE","q37","93001"
"55","R_1CqhU8GrWTuDtVB","1","TRUE","q37","93001"
"56","R_3EsU8OgWn38XUVT","1","TRUE","q37","93001"
"57","R_dmpt4kZZbS4LShP","2","TRUE","q37","93001"
"58","R_2QSyUpiwZHDwLxR","1","TRUE","q37","93001"
"59","R_piUdz2bZc1GXGaR","1","TRUE","q37","93001"
"60","R_3jYH3jDkgBApwvQ","1","TRUE","q37","93002"
"61","R_11jsAMSiUnLCK42","1","TRUE","q37","93002"
"62","R_2pWtHEan9omf4a2","1","TRUE","q37","93003"
"63","R_1o8f00NjsiWu8PU","1","TRUE","q37","93003"
"64","R_338UYxFLgUhSu2F","1","TRUE","q37","93003"
"65","R_3CC8SuKlSIbRA3Y","1","TRUE","q37","93003"
"66","R_1opzMxv32rVSxTa","1","TRUE","q37","93003"
"67","R_1OBnu4tkSoFPWM5","1","TRUE","q37","93003"
"68","R_3F254uVwVyufOjP","1","TRUE","q37","93003"
"69","R_NVaFk4VPoXHhKed","2","TRUE","q37","93003"
"70","R_3hFIGtLbOHwZKwE","1","TRUE","q37","93003"
"71","R_21iktetZmL8QnsY","1","TRUE","q37","93003"
"72","R_3fCWzPddoUzD9SQ","1","TRUE","q37","93003"
"73","R_21EWI4mauAH46sy","1","TRUE","q37","93003"
"74","R_1GH2xKjjoWLbxFm","1","TRUE","q37","93003"
"75","R_2w5eckUS0omx83T","1","TRUE","q37","93003"
"76","R_10CWd2v52slKqEu","1","TRUE","q37","93003"
"77","R_2PgPOVgebtk4tvm","1","TRUE","q37","93003"
"78","R_WdhIZ6h1M8KebCx","1","TRUE","q37","93003"
"79","R_27xtwseqxWV6IRr","1","TRUE","q37","93003"
"80","R_2PiNfzsbzO4On2q","1","TRUE","q37","93004"
"81","R_1FmNK7peVNCmeSQ","1","TRUE","q37","93004"
"82","R_czOvgBP3cHpJgkh","1","TRUE","q37","93004"
"83","R_1N9Q2IwRYRHVqJp","1","TRUE","q37","93004"
"84","R_3n1NIiz4nlBu3FN","1","TRUE","q37","93004"
"85","R_2VOnCu0zGFlDKlT","1","TRUE","q37","93004"
"86","R_2asgQTn0RCRO0rH","1","TRUE","q37","93004"
"87","R_2tFin1X9063rU09","1","TRUE","q37","93004"
