"","q9","n"
"1","",403
"2","seaweed",16
"3","ocean",8
"4","food",4
"5","preservation",4
"6","sealife",4
"7","sustainability",4
"8","fish",3
"9","ecosystem",2
"10","environmental",2
"11","farming",2
"12","health",2
"13","healthy",2
"14","huh",2
"15","agar",1
"16","agriculture",1
"17","algae",1
"18","aquaculter",1
"19","aquatic",1
"20","biofuel",1
"21","cleansing",1
"22","coast",1
"23","conservation",1
"24","destruction",1
"25","ecology",1
"26","environment",1
"27","farm",1
"28","forest",1
"29","great",1
"30","green",1
"31","growing",1
"32","growth",1
"33","habitat",1
"34","jellyfish",1
"35","kelp",1
"36","kelpbed",1
"37","lines",1
"38","manmade",1
"39","marine",1
"40","messy",1
"41","natural",1
"42","noidea",1
"43","none",1
"44","nope",1
"45","opportunity",1
"46","otters",1
"47","overfishing",1
"48","oxygenation",1
"49","possibility",1
"50","potential",1
"51","reef",1
"52","regenerative",1
"53","resiliency",1
"54","resource",1
"55","restorative",1
"56","save",1
"57","sea",1
"58","seafood",1
"59","selfsustaining",1
"60","sushi",1
"61","sustainable",1
"62","unknown",1
"63","unsure",1
"64","useful",1
"65","water",1
"66","whales",1
"67","yum",1
